2025-11-03 01:25:01.403 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'evaluationMapper' and 'com.cn.taihe.back.suppliers.mapper.EvaluationMapper' mapperInterface
2025-11-03 01:25:01.403 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'evaluationMapper'.
2025-11-03 01:25:01.403 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'supplierCertificateMapper' and 'com.cn.taihe.back.suppliers.mapper.SupplierCertificateMapper' mapperInterface
2025-11-03 01:25:01.404 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'supplierCertificateMapper'.
2025-11-03 01:25:01.404 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'supplierMapper' and 'com.cn.taihe.back.suppliers.mapper.SupplierMapper' mapperInterface
2025-11-03 01:25:01.404 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'supplierMapper'.
2025-11-03 01:25:01.862  INFO 50559 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-11-03 01:25:01.865  INFO 50559 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$7a23fe52] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-11-03 01:25:01.878  INFO 50559 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-11-03 01:25:01.938  INFO 50559 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'dynamicDatasourceAnnotationAdvisor' of type [com.baomidou.dynamic.datasource.aop.DynamicDataSourceAnnotationAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-11-03 01:25:02.029  INFO 50559 --- [main] c.a.d.s.b.a.DruidDataSourceAutoConfigure : Init DruidDataSource
